country,import_shipments,export_shipments,top_import_source,import_source_share_pct,top_export_market,export_market_share_pct,top_export_commodity,top_import_commodity
Afghanistan,596118,110342,Malaysia,96,China,39,,Sunflower Oil
Albania,1496855,1133534,Italy,57,Italy,74,Footwear,Copper
Algeria,11946502,10772250,China,31,Italy,30,Refined Petroleum,Machinery
Andorra,157323,15453,Spain,81,United States,77,,
Angola,2670259,9010563,China,24,China,71,Refined Petroleum,Poultry
Anguilla,29461,2641,,,,,,
Antigua and Barbuda,248488,8577,,,,,,
Argentina,17606377,26699307,Brazil,31,Brazil,33,Rice,Machinery
Armenia,394074,984925,Italy,45,Germany,35,Copper,
Aruba,373304,24223,,,,,,
Australia,165521884,462542410,China,42,China,27,Refined Petroleum,Machinery
Austria,57040725,52502811,Germany,55,Germany,44,Machinery,Machinery
Azerbaijan,1867261,5374378,United Kingdom,97,Italy,59,Refined Petroleum,Jewellery
Bahamas,2428900,467037,United States,78,United States,56,Organic Chemicals,Refined Petroleum
Bahrain,4657265,4300665,Saudi Arabia,46,Saudi Arabia,32,Aluminium,Dairy & Milk
Bangladesh,22327061,21766894,China,41,Germany,23,Garments & Apparel,Steel & Iron
Barbados,408570,48517,,,United States,43,Wine,
Belarus,2500198,1588395,Poland,60,Poland,29,Steel & Iron,Nuts
Belgium,263365045,230756073,Netherlands,24,Germany,25,Steel & Iron,Organic Chemicals
Benin,1591365,202710,Thailand,50,China,44,Cotton,Cotton
Bermuda,395810,19984,United States,77,United States,73,Carpets & Rugs,Carpets & Rugs
Bhutan,35367,13439,,,,,,
Bolivia,1394765,4090557,Brazil,76,United States,27,Nuts,Cocoa
Bosnia-Herzegovina,1469570,1534447,Netherlands,42,Germany,42,Footwear,
Botswana,188486,462567,Canada,58,Belgium,51,Jewellery,Jewellery
Brazil,130490861,396494313,China,39,United States,29,Steel & Iron,Machinery
Brunei,916160,2437340,Singapore,58,Japan,30,Refined Petroleum,Jewellery
Bulgaria,11010251,9020510,Germany,23,Germany,31,Garments & Apparel,Electronics
Burkina Faso,394935,335984,,,Japan,59,,
