india_itc_hs8,system_identity_id,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
40131020,6003201906000006765595,401310,5,"Rubber; inner tubes, of a kind used on motorcars (including station wagons and racing cars), buses and lorries",MARKS3151,Indonesia,India,India,9,2019,6,2019-06,2019-06-23,20190610,20190610,export,1,33101181.71,5605.62,kg,KG,PT. OCEAN TRADING INDONESIA,[in full dataset],Kabupaten Tangerang,,www.oceantoy.id,[in full dataset],Y,DCM SHRIRAM LIMITED,[in full dataset],Gurugram,,www.dcmshriram.com,[in full dataset],Y,PT. OCEAN TRADING INDONESIA,[in full dataset],,24001,24001,"Tanjung Perak, Surabaya",Chennai,Gurugram,1,1,30,MAERSK MOLLER,IMO2693491,SG,V289,846,HLCU,HBL,CMDU553047876,MSCU352157191,TCLU9793096,20GP,FLAT RACK,GP,FCL,CFS/CFS,Kuehne + Nagel,4909.22
69022020,6003202311000000402322,690220,9,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these",MARKS4727,Indonesia,India,India,7,2023,11,2023-11,2023-11-27,20231123,20231123,export,1,2161289.91,9375.57,kg,KG,PT INDO AMERICAN CERAMICS,[in full dataset],Kota Administrasi Jakarta Selatan,,,,Y,SHIV SHAKTI BRICKS COMPANY,[in full dataset],Hisar,,,,Y,PT INDO AMERICAN CERAMICS,[in full dataset],,2918.3,2918.3,"Tanjung Priok, Jakarta",Chennai,Hisar,1,1,3.65,MOL TRIUMPH,IMO6445771,PA,V434,191,APLU,MBL,MAEU252353094,ONEY384239812,TCLU6537794,40GP,FLAT RACK,GP,FCL,CY/CY,DB Schenker,8620.9
09096141,6003202010000000161310,090961,9,"Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground",MARKS9843,China,India,India,6,2020,10,2020-10,2020-10-10,20201027,20201027,export,1,635725,21913.57,kg,KG,"Shenzhen Paopao Mate Trading Co., Ltd.",[in full dataset],Shenzhen,,www.popmart.com,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,"Shenzhen Paopao Mate Trading Co., Ltd.",[in full dataset],,16538.6,16538.6,Shenzhen,Cochin,New Delhi,1,1,20.67,ONE APUS,IMO2274318,MH,V100,906,EGLV,HBL,MAEU513490215,MSCU387870609,TGHU5110562,45HC,FLAT RACK,RF,FCL,CY/CY,Bollore Logistics,20442.73
,6003201605000000963248,080529,6,"Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried",MARKS2988,Singapore,India,India,7,2016,5,2016-05,2016-05-14,20160525,20160525,export,1,2095955.89,56837.97,kg,KG,OLAM INTERNATIONAL LIMITED,[in full dataset],Singapore,,www.olamgroup.com,[in full dataset],Y,WOW MOMO FOODS PRIVATE LIMITED,[in full dataset],Kolkata,,www.wowmomo.com,[in full dataset],N,OLAM INTERNATIONAL LIMITED,[in full dataset],,18313.9,18313.9,Singapore (PSA),Kandla,Kolkata,1,1,22.89,CSCL GLOBE,IMO5346565,PA,V543,512,APLU,MBL,HLCU116211431,COSU598503014,TGHU9605387,40HC,TANK,RF,FCL,CY/CY,Bollore Logistics,49914.74
25301090,6003202103000003094133,253010,9,"Vermiculite, perlite and chlorites; unexpanded",MARKS6697,Egypt,India,India,9,2021,3,2021-03,2021-03-21,20210318,20210318,export,1,5474637.32,2550.33,kg,KG,EGYPTIAN GYPSUM COMPANY SAE,[in full dataset],Giza,,www.saint-gobain-gyproc.com,[in full dataset],Y,AMBUJA CEMENTS LIMITED,[in full dataset],Mumbai,,www.ambujacement.com,[in full dataset],Y,EGYPTIAN GYPSUM COMPANY SAE,[in full dataset],,16053.4,16053.4,Sokhna,Tuticorin,Mumbai,1,1,20.07,YM WARRANTY,IMO6018011,SG,V577,918,HLCU,SWB,MAEU108144856,ONEY192935631,CAIU9114514,40GP,REEFER,RF,FCL,CFS/CFS,Expeditors,2347.21
08121000,6003201601000006167378,081210,5,"Fruit, edible; cherries, provisionally preserved, but unsuitable in that state for immediate consumption",MARKS8285,United States,India,India,8,2016,1,2016-01,2016-01-10,20160105,20160105,export,1,25760448,2393.61,kg,KG,The Kraft Heinz Company,[in full dataset],Pittsburgh,,www.kraftheinzcompany.com,[in full dataset],Y,GRAPES DIGITAL PRIVATE LIMITED,[in full dataset],New Delhi,,www.grapesdigital.com,[in full dataset],Y,The Kraft Heinz Company,[in full dataset],,18907.2,18907.2,"Houston, TX",Cochin,New Delhi,1,1,23.63,MAERSK MOLLER,IMO8540347,PA,V565,442,OOLU,MBL,EGLV947301051,MAEU563844841,TGHU9063038,40HC,REEFER,HC,FCL,CY/CFS,CEVA Logistics,2244.98
15071000,6003201503000004406332,150710,7,"Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified",MARKS6660,Malaysia,India,India,8,2015,3,2015-03,2015-03-13,20150316,20150316,export,1,242261037.63,42686.05,kg,KG,PACIFIC OILS & FATS INDUSTRIES SDN. BHD.,[in full dataset],Kulai,,www.pacificofats.com,[in full dataset],Y,AMBALA OILS AND FATS PRIVATE LIMITED,[in full dataset],Ambala,,,,Y,PACIFIC OILS & FATS INDUSTRIES SDN. BHD.,[in full dataset],,11448.7,11448.7,Port Klang,Visakhapatnam,Ambala,1,1,14.31,EVER ACME,IMO7134209,PA,V336,416,CMDU,SWB,CMDU221670904,CMDU644056135,FCIU3251017,20GP,TANK,RF,LCL,CY/CFS,Expeditors,38085.13
48043900,6003201801000003913136,480439,9,"Kraft paper and paperboard; uncoated, bleached, weight 150g/m2 or less, in rolls or sheets, other than that of heading no. 4802 or 4803",MARKS9818,South Korea,India,India,9,2018,1,2018-01,2018-01-13,20180107,20180107,export,1,18397613,76541.89,kg,KG,"HANSOL PAPER Co., Ltd.",[in full dataset],Seoul,,www.hansolpaper.co.kr,[in full dataset],Y,USHODAYA ENTERPRISES PRIVATE LIMITED,[in full dataset],Hyderabad,,www.eenadu.net,[in full dataset],Y,"HANSOL PAPER Co., Ltd.",[in full dataset],,4097.5,4097.5,Gwangyang,Kandla,Hyderabad,1,1,5.12,CMA CGM JULES VERNE,IMO8763527,PA,V330,174,COSU,SWB,MSCU300776622,ONEY410631219,TGHU2221887,40GP,REEFER,HC,FCL,CY/CFS,Sinotrans,67384.53
08092100,6003201609000011045064,080921,8,"Fruit, edible; sour cherries (Prunus cerasus), fresh",MARKS1895,United States,India,India,6,2016,9,2016-09,2016-09-12,20160927,20160927,export,1,102668115,4479.91,kg,KG,The Kraft Heinz Company,[in full dataset],Pittsburgh,,www.kraftheinzcompany.com,[in full dataset],Y,VISHAAL NATURAL FOOD PRODUCTS INDIA PRIVATE LIMITED,[in full dataset],Bengaluru,,www.vishaalnatural.com,[in full dataset],Y,The Kraft Heinz Company,[in full dataset],,8646.4,8646.4,"Oakland, CA",Cochin,Bengaluru,1,1,10.81,OOCL HONG KONG,IMO2563264,LR,V870,518,CMDU,MBL,COSU581964019,MSCU992780702,GESU9877522,40HC,OPEN TOP,HC,FCL,CY/CY,CEVA Logistics,4020.33
09103010,6003202010000001604614,091030,7,Spices; turmeric (curcuma),MARKS5168,Indonesia,India,India,9,2020,10,2020-10,2020-10-03,20201001,20201001,export,1,15964325.41,2533.37,kg,KG,PT GAPURA AGRO INDONESIA,[in full dataset],Kota Tangerang Selatan,,,,Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],N,PT GAPURA AGRO INDONESIA,[in full dataset],,1958.2,1958.2,Belawan,Kolkata,Kodagu,1,1,2.45,EVER ACME,IMO9982965,MH,V797,10,ONEY,HBL,YMLU574396385,CMDU395965451,FCIU6403646,45HC,DRY,HC,FCL,CFS/CFS,DSV,2225.36
