product,india_itc_hs8,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_duns,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Ginger (whole),09101130,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS9945,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-23,20250816,20250816,import,1,3726323.53,1618.29,kg,KG,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],[in full dataset],Aurangabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],,22715.7,22715.7,Tuticorin,Rotterdam,Utrecht,1,1,28.39,HMM ALGECIRAS,IMO8286698,MH,V657,2,YMLU,MBL,ONEY830626095,MSCU985643593,GESU1558538,45HC,FLAT RACK,RF,LCL,CY/CY,Bollore Logistics,1476.49
Cumin seeds,09093119,09093100,090931,5,"Spices; cumin seeds, neither crushed nor ground",MARKS6704,India,Netherlands,Netherlands,8,2024,10,2024-10,2024-10-07,20241020,20241020,import,1,5609457.12,10184.68,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,4246.4,4246.4,Tuticorin,Amsterdam,Utrecht,1,1,5.31,CMA CGM JULES VERNE,IMO4600680,SG,V532,902,OOLU,HBL,MAEU980658741,ONEY522575311,BMOU9095231,20GP,REEFER,HC,FCL,CY/CFS,CEVA Logistics,9012.04
"Chilli/Capsicum, crushed/ground",09042221,09042200,090422,5,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS2235,India,Netherlands,Netherlands,5,2025,3,2025-03,2025-03-04,20250306,20250306,import,1,4166176.36,14094.15,kg,KG,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],[in full dataset],Hyderabad,,www.cclproducts.com,[in full dataset],Y,Pelican Rouge Coffee Roasters B.V.,[in full dataset],Dordrecht,,www.pelicanrougecoffeeroasters.com,[in full dataset],Y,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],,2787.5,2787.5,Chennai,Amsterdam,Dordrecht,1,1,3.48,ONE APUS,IMO1256814,SG,V159,885,YMLU,HBL,EGLV891125045,HLCU280814206,GESU2825863,40HC,REEFER,HC,FCL,CY/CY,Expeditors,13079.91
Turmeric,09103010,09103000,091030,9,Spices; turmeric (curcuma),MARKS5263,India,Netherlands,Netherlands,9,2025,12,2025-12,2025-12-27,20251213,20251213,import,1,5159218.93,4552.32,kg,KG,POLLACHI NUTMEG FARMER PRODUCER COMPANY LIMITED,[in full dataset],[in full dataset],Pollachi,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,POLLACHI NUTMEG FARMER PRODUCER COMPANY LIMITED,[in full dataset],,9392.1,9392.1,Cochin,Rotterdam,Utrecht,1,1,11.74,MADRID MAERSK,IMO4212459,SG,V383,959,COSU,HBL,MAEU559642016,MAEU789963380,BMOU3049074,20GP,FLAT RACK,HC,LCL,CY/CFS,Kuehne + Nagel,4258.1
Ginger (whole),09101110,09101100,091011,7,"Spices; ginger, neither crushed nor ground",MARKS6626,India,Netherlands,Netherlands,6,2024,12,2024-12,2024-12-04,20241228,20241228,import,1,4973909.49,3638.51,kg,KG,SHIVAM CONFECTIONERY,[in full dataset],[in full dataset],Fatehpur,,,,Y,Pelican Rouge Coffee Roasters B.V.,[in full dataset],Dordrecht,,www.pelicanrougecoffeeroasters.com,[in full dataset],Y,SHIVAM CONFECTIONERY,[in full dataset],,8168.4,8168.4,Cochin,Amsterdam,Dordrecht,1,1,10.21,CMA CGM JULES VERNE,IMO3836346,PA,V100,110,APLU,HBL,COSU703639656,ONEY111828829,BMOU4380955,40GP,DRY,RF,FCL,CY/CFS,CEVA Logistics,3208.23
Cumin seeds,09093111,09093100,090931,7,"Spices; cumin seeds, neither crushed nor ground",MARKS2500,India,Netherlands,Netherlands,5,2025,6,2025-06,2025-06-11,20250614,20250614,import,1,11170668.99,349754.54,kg,KG,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],[in full dataset],Kolkata,,www.mcleodrussel.com,[in full dataset],Y,Capriole Coffee-Service B.V.,[in full dataset],'s-Gravenhage,,www.capriole.nl,[in full dataset],Y,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],,17099.9,17099.9,Tuticorin,Amsterdam,'s-Gravenhage,1,1,21.37,MSC OSCAR,IMO3583577,MH,V805,279,ONEY,MBL,CMDU816715977,HLCU618356306,GESU5541399,40HC,OPEN TOP,HC,FCL,CY/CFS,Sinotrans,307350.79
Turmeric,09103030,09103000,091030,9,Spices; turmeric (curcuma),MARKS8811,India,Netherlands,Netherlands,9,2025,9,2025-09,2025-09-25,20250913,20250913,import,1,4355714.92,75676.77,kg,KG,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],[in full dataset],Hyderabad,,www.cclproducts.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],,4713.7,4713.7,Cochin,Amsterdam,Utrecht,1,1,5.89,MSC GULSUN,IMO2546097,MH,V204,771,EGLV,HBL,MAEU831322050,ONEY464313753,MSCU9241770,40HC,REEFER,HC,LCL,CY/CY,DB Schenker,70873.9
Black pepper (whole),09041110,09041100,090411,5,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS7604,India,Netherlands,Netherlands,8,2024,7,2024-07,2024-07-13,20240726,20240726,import,1,9582182.28,28850.73,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,18534.5,18534.5,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,23.17,MSC OSCAR,IMO1012852,MH,V584,678,OOLU,SWB,HLCU221574370,ONEY420356332,MSCU7642719,40GP,FLAT RACK,GP,FCL,CY/CY,Yusen Logistics,26194.59
Cumin seeds,09093119,09093100,090931,8,"Spices; cumin seeds, neither crushed nor ground",MARKS8996,India,Netherlands,Netherlands,8,2025,6,2025-06,2025-06-01,20250623,20250623,import,1,11170668.99,4523.89,kg,KG,AMRUTHA COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,AMRUTHA COFFEE PRIVATE LIMITED,[in full dataset],,19080.8,19080.8,Kolkata,Amsterdam,Utrecht,1,1,23.85,APL MEXICO CITY,IMO7083963,SG,V623,845,YMLU,MBL,MSCU738994093,MSCU943147732,CAIU2302380,20GP,FLAT RACK,HC,LCL,CY/CFS,Expeditors,4279.5
"Black pepper, crushed/ground",09041200,09041200,090412,8,"Spices; pepper (of the genus piper), crushed or ground",MARKS4137,India,Netherlands,Netherlands,9,2024,11,2024-11,2024-11-07,20241125,20241125,import,1,4123757.67,42503.28,kg,KG,COTHAS COFFEE CO,[in full dataset],[in full dataset],Bengaluru Rural,,www.cothas.com,[in full dataset],N,Pelican Rouge Coffee Roasters B.V.,[in full dataset],Dordrecht,,www.pelicanrougecoffeeroasters.com,[in full dataset],Y,COTHAS COFFEE CO,[in full dataset],,2338.4,2338.4,Chennai,Rotterdam,Dordrecht,1,1,2.92,OOCL HONG KONG,IMO6565737,PA,V813,575,HLCU,MBL,CMDU875916894,COSU194412197,MSCU3374366,40HC,OPEN TOP,HC,LCL,CY/CY,DB Schenker,37368.21
Ginger (whole),09101110,09101100,091011,6,"Spices; ginger, neither crushed nor ground",MARKS8622,India,Netherlands,Netherlands,6,2024,11,2024-11,2024-11-09,20241116,20241116,import,1,4123757.67,1336.6,kg,KG,BAKERS SPICES & INGREDIENTS PRIVATE LIMITED,[in full dataset],[in full dataset],Coimbatore,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,BAKERS SPICES & INGREDIENTS PRIVATE LIMITED,[in full dataset],,20508.6,20508.6,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,25.64,APL MEXICO CITY,IMO6284962,SG,V585,145,HMMU,MBL,MSCU462639481,YMLU855663373,BMOU3079822,40HC,TANK,RF,FCL,CFS/CFS,DSV,1242.14
