trade_direction,nl_company,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Import (NL buyer),Aluart Aluminium B.V.,76061150,760611,7,"Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, (not alloyed), rectangular (including square)",MARKS4770,Pakistan,Netherlands,Netherlands,8,2022,2,2022-02,2022-02-01,20220204,20220204,import,1,79662.1,49303.86,kg,KG,PAKISTAN ALUMINIUM BEVERAGE CANS LIMITED,[in full dataset],Punjab,,www.pkbevcan.com,[in full dataset],Y,Aluart Aluminium B.V.,[in full dataset],Nieuwegein,,www.aluart.nl,[in full dataset],Y,PAKISTAN ALUMINIUM BEVERAGE CANS LIMITED,[in full dataset],,7317.9,7317.9,Gwadar,Amsterdam,Nieuwegein,1,1,9.15,MSC OSCAR,IMO5934727,MH,V659,511,EGLV,MBL,YMLU770531526,ONEY242629716,BMOU6485231,20GP,DRY,HC,FCL,CY/CY,Bollore Logistics,44125.46
Export (NL seller),HG Chemical B.V.,38276500,382765,5,"Mixtures containing halogenated derivatives of methane, ethane or propane; containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); other mixtures, not included in the subheadings above,",MARKS7403,Netherlands,Trinidad and Tobago,Trinidad and Tobago,6,2023,7,2023-07,2023-07-16,20230708,20230708,export,1,110797.06,5130.44,kg,KG,HG Chemical B.V.,[in full dataset],Almere,,www.hg.eu,[in full dataset],Y,Massy Gas Products (Trinidad) Limited,[in full dataset],Savonetta,,www.massygasproducts.com/tt,[in full dataset],Y,HG Chemical B.V.,[in full dataset],,7309.7,7309.7,Amsterdam,Main Container Port,Savonetta,1,1,9.14,MAERSK MOLLER,IMO3670413,PA,V705,16,APLU,SWB,COSU109856887,YMLU163911834,FCIU9786708,45HC,REEFER,HC,FCL,CY/CFS,DSV,4478.66
Export (NL seller),Renaissance Oil & Gas B.V.,27050000,270500,8,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",MARKS4534,Netherlands,Romania,Romania,5,2025,10,2025-10,2025-10-19,20251007,20251007,export,1,3998220.16,417.93,kg,KG,Renaissance Oil & Gas B.V.,[in full dataset],Arnhem,,www.renogas.com,[in full dataset],N,ENGIE ENERGY MANAGEMENT ROMANIA SRL,[in full dataset],Bucuresti,,,,N,Renaissance Oil & Gas B.V.,[in full dataset],,22145.6,22145.6,Amsterdam,Main Container Port,Bucuresti,1,1,27.68,YM WARRANTY,IMO1604723,LR,V267,414,EGLV,HBL,COSU863570455,YMLU626236503,MSCU8595274,40HC,TANK,RF,FCL,CFS/CFS,DB Schenker,370.3
Import (NL buyer),Kweek- en Researchbedrijf Agrico B.V.,03039230,030392,8,"Fish; frozen, shark fins",MARKS1129,Cyprus,Netherlands,Netherlands,7,2017,11,2017-11,2017-11-24,20171124,20171124,import,1,1691.45,1804.1,kg,KG,BLUE ISLAND PLC,[in full dataset],Nicosia,,www.blue-island.com,[in full dataset],Y,Kweek- en Researchbedrijf Agrico B.V.,[in full dataset],Bant,,www.agricopotatoes.com,[in full dataset],Y,BLUE ISLAND PLC,[in full dataset],,20780.3,20780.3,Main Container Port,Rotterdam,Bant,1,1,25.98,YM WARRANTY,IMO1246264,PA,V146,959,YMLU,HBL,CMDU610770466,ONEY148303074,CAIU3069082,45HC,TANK,HC,LCL,CY/CY,DSV,1691.45
Export (NL seller),Forest Metal Group B.V.,73202085,732020,8,Iron or steel; helical springs and leaves for springs,MARKS7565,Netherlands,Mali,Mali,7,2021,3,2021-03,2021-03-09,20210313,20210313,export,1,349514.26,284.22,kg,KG,Forest Metal Group B.V.,[in full dataset],Rotterdam,,www.forestmetalgroup.com,[in full dataset],Y,B H P Mali Inc,[in full dataset],Bamako,,,,N,Forest Metal Group B.V.,[in full dataset],,11586.9,11586.9,Amsterdam,Main Container Port,Bamako,1,1,14.48,MSC OSCAR,IMO3820772,MH,V708,973,MSCU,SWB,MAEU756093786,EGLV356069146,FCIU6156240,45HC,REEFER,GP,FCL,CY/CY,DSV,250.45
Import (NL buyer),Robeco Global Stars Equities Fund N.V.,87100000,871000,7,"Tanks and other armoured fighting vehicles; motorised, whether or not fitted with weapons, and parts of such vehicles",MARKS4892,New Zealand,Netherlands,Netherlands,9,2024,1,2024-01,2024-01-27,20240109,20240109,import,1,82208.37,44922.15,kg,KG,MITSUBISHI CORPORATION,[in full dataset],Auckland,,www.mitsubishicorp.com,[in full dataset],N,Robeco Global Stars Equities Fund N.V.,[in full dataset],Rotterdam,,www.robeco.com,[in full dataset],Y,MITSUBISHI CORPORATION,[in full dataset],,12738.3,12738.3,Auckland,Rotterdam,Rotterdam,1,1,15.92,CSCL GLOBE,IMO8343536,PA,V965,287,MSCU,HBL,EGLV551591350,MSCU864080521,FCIU5097887,45HC,OPEN TOP,RF,FCL,CFS/CFS,DHL Global Forwarding,40461.88
Import (NL buyer),Forza Fighting Gear B.V.,90066900,900669,5,Photographic flashlight apparatus; n.e.c. in heading no. 9006,MARKS3482,Italy,Netherlands,Netherlands,8,2022,6,2022-06,2022-06-06,20220622,20220622,export,1,42237452.71,44177.55,kg,KG,MG SPA,[in full dataset],TRAVAGLIATO,,mg.marposs.com,[in full dataset],Y,Forza Fighting Gear B.V.,[in full dataset],Almere,,www.forzaworld.com,[in full dataset],Y,MG SPA,[in full dataset],,19569.6,19569.6,La Spezia,Amsterdam,Almere,1,1,24.46,MADRID MAERSK,IMO1852603,MH,V594,278,MAEU,HBL,EGLV938712198,CMDU550009214,TCLU4466561,45HC,DRY,HC,FCL,CY/CFS,Expeditors,39862.56
Export (NL seller),Tanatex Chemicals B.V.,38151990,381519,9,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.c. or included",MARKS9388,Netherlands,Panama,Panama,6,2023,7,2023-07,2023-07-21,20230708,20230708,export,1,326596.72,689.5,kg,KG,Tanatex Chemicals B.V.,[in full dataset],Ede GLD,,www.tanatexchemicals.com,[in full dataset],Y,Centro de Pinturas Pintuco S.A.,[in full dataset],Panama,,www.pintuco.com.pa,[in full dataset],Y,Tanatex Chemicals B.V.,[in full dataset],,8760.5,8760.5,Amsterdam,Main Container Port,Panama,1,1,10.95,MOL TRIUMPH,IMO2377650,PA,V203,821,MAEU,HBL,MSCU809194863,EGLV433362278,GESU5652114,45HC,TANK,HC,FCL,CY/CFS,Kuehne + Nagel,651.72
Export (NL seller),FD Sports,90314990,903149,8,"Optical instruments and appliances; for measuring or checking, n.e.c. in chapter 90",MARKS1439,Netherlands,Russia,Russia,7,2019,12,2019-12,2019-12-13,20191223,20191223,export,1,63854945.3,654.09,kg,KG,FD Sports,[in full dataset],Hoogeveen,,,,Y,"MOSENERGOSBYT, AO",[in full dataset],Moscow,,www.mosenergosbyt.ru,[in full dataset],Y,FD Sports,[in full dataset],,15929.3,15929.3,Amsterdam,Novorossiysk,Moscow,1,1,19.91,MSC OSCAR,IMO7536880,SG,V689,116,OOLU,SWB,CMDU942617789,MAEU249855084,TGHU9758542,40HC,FLAT RACK,RF,FCL,CY/CY,DSV,595.28
Export (NL seller),Discount Pet Center B.V.,90308900,903089,9,"Instruments and apparatus; n.e.c. in heading no. 9030, without a recording device",MARKS4794,Netherlands,Italy,Italy,6,2020,2,2020-02,2020-02-01,20200202,20200202,import,1,175413200.83,3940.68,kg,KG,Discount Pet Center B.V.,[in full dataset],Arnhem,,,,Y,PUMA EUROPE GMBH,[in full dataset],ASSAGO,,,,N,Discount Pet Center B.V.,[in full dataset],,4945.6,4945.6,Rotterdam,La Spezia,ASSAGO,1,1,6.18,OOCL HONG KONG,IMO1449598,LR,V990,886,ZIMU,SWB,EGLV154721989,ONEY500889468,TCLU3409122,45HC,FLAT RACK,GP,LCL,CY/CFS,DSV,3739.94
