nigeria_cet10,declaration_no,declaration_date,clearance_date,flow,customs_regime,entry_type,hs_code,product_description,country_of_origin,country_of_export,country_of_destination,exporter_name,exporter_tax_id,exporter_address,exporter_city,exporter_country,exporter_contact,importer_name,importer_tax_id,importer_address,importer_city,importer_country,importer_contact,mode_of_transport,customs_house,port_of_clearance,year,month,period,quantity,unit_of_measure,net_weight_kg,gross_weight_kg,customs_value_usd,cif_value_usd,fob_value_usd,freight_usd,insurance_usd,unit_price_usd,currency,exchange_rate,incoterms,duty_rate_pct,duty_amount_usd,vat_tax_usd,total_tax_usd,customs_broker,declarant_ref,package_count,package_type,marks_numbers,lane_value_usd,nigeria_role
1302200000,CD201507000000023728,2015-07-16,2015-07-01,export,40,Warehouse,130220,Pectic substances; pectinates and pectates,United Kingdom,United Kingdom,Nigeria,CHAUMET (LONDON) LIMITED,[in full dataset],[in full dataset],LONDON,United Kingdom,[in full dataset],DARUL-MUQINEEN ARABIC AND ISLAMIC CENTRE,[in full dataset],[in full dataset],Isheri,Nigeria,,SEA,Main Container Port,Main Container Port,2015,7,2015-07,24814.7,KG,24814.7,28252.8,10300.95,10300.95,9799.86,475.67,25.42,0.39,CNY,120.4634,FCA,5.9,607.76,0,607.76,DSV Customs,REF2793712,335,CARTONS,PKG52451,742006.77,Nigeria importer (import)
1302310000,CD201511000000007932,2015-11-11,2015-11-20,import,42,Consumption,130231,"Mucilages and thickeners; agar-agar, whether or not modified, derived from vegetable products",Nigeria,Nigeria,Germany,NURUL IMAN ARABIC & ISLAMIC ACADEMY LTD,[in full dataset],[in full dataset],Zaria,Nigeria,,Natural Gums Dr. W. Agster GmbH,[in full dataset],[in full dataset],Reutlingen,Germany,[in full dataset],SEA,Hamburg,Wilhelmshaven,2015,11,2015-11,7886.6,KG,7886.6,8377.7,32995.04,32995.04,30339.78,2477.06,178.2,3.85,JPY,106.0129,DDP,6.1,2012.7,1750.39,3763.09,Kuehne+Nagel Brokerage,REF2008014,89,ROLLS,PKG55157,207267.07,Nigeria exporter (export)
1512110000,CD201607000000361415,2016-07-17,2016-07-23,import,40,Temporary,151211,"Vegetable oils; sunflower seed or safflower oil and their fractions, crude, not chemically modified",Nigeria,Nigeria,Germany,INTERNATIONAL FRACTIONATION AND MARGARINE PRODUCTS LTD,[in full dataset],[in full dataset],Lagos,Nigeria,,Tallow GmbH,[in full dataset],[in full dataset],Gerlingen,Germany,,ROAD,Wilhelmshaven,Bremerhaven,2016,7,2016-07,23000.4,KG,23000.4,25843.9,1835.88,1835.88,1677.78,144.9,13.2,0.07,USD,1,DDP,4.3,78.94,287.22,366.16,DB Schenker Customs,REF8275540,385,PALLETS,PKG36172,2543876.47,Nigeria exporter (export)
2922421000,CD202304000000161941,2023-04-23,2023-04-03,export,40,Consumption,292242,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof",China,China,Nigeria,"Qilu Antibiotics Pharmaceutical Co., Ltd.",[in full dataset],[in full dataset],Jinan,China,[in full dataset],BILE ACIDS NIGERIA LTD,[in full dataset],[in full dataset],Suleja,Nigeria,,RAIL,Main Container Port,Main Container Port,2023,4,2023-04,7546.4,KG,7546.4,7809.2,6394.27,6394.27,5895.13,487.22,11.92,0.78,USD,1,FCA,6.4,409.23,0,409.23,Kuehne+Nagel Brokerage,REF6102608,292,PALLETS,PKG92751,18274065,Nigeria importer (import)
2620190000,CD202109000000333851,2021-09-08,2021-09-18,import,51,Warehouse,262019,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",Nigeria,Nigeria,China,PANALPINA WORLD TRANSPORT (NIGERIA) LTD,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],"Shanghai Kaishiyi Trading Co., Ltd.",[in full dataset],[in full dataset],Shanghai,China,,SEA,Shanghai,Shanghai,2021,9,2021-09,21247.9,KG,21247.9,22754.2,28294.68,28294.68,27414.52,666.05,214.11,1.29,USD,1,EXW,3.2,905.43,5256.02,6161.45,CEVA Customs,REF5777647,199,BULK,PKG53043,20610188,Nigeria exporter (export)
2613900000,CD201912000000183646,2019-12-10,2019-12-22,import,51,Warehouse,261390,Molybdenum ores and concentrates; other than roasted,Nigeria,Nigeria,China,RINA CTSI NIGERIA LIMITED,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],"5i5j Holding Group Co., Ltd",[in full dataset],[in full dataset],Beijing,China,[in full dataset],SEA,Dalian,Shenzhen,2019,12,2019-12,9250.6,KG,9250.6,10471,5885.35,5885.35,5713.34,163.45,8.56,0.62,USD,1,EXW,3.7,217.76,732.37,950.13,CEVA Customs,REF1381100,54,BALES,PKG84917,9075130,Nigeria exporter (export)
2601120000,CD202412000000864554,2024-12-14,2024-12-20,import,42,Warehouse,260112,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites),Nigeria,Nigeria,China,TRANSNATIONAL CORPORATION PLC,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],"Yalan Home Textile Shenzhen Co.,Ltd. Cuizhu Wanjia Outlet",[in full dataset],[in full dataset],Shenzhen,China,,AIR,Dalian,Yingkou,2024,12,2024-12,4134.4,KG,4134.4,4701.9,2019.64,2019.64,1837.93,179.79,1.92,0.44,CNY,67.8804,EXW,6.1,123.2,107.14,230.34,Flexport Customs,REF8610048,274,DRUMS,PKG36846,70218400,Nigeria exporter (export)
8530800000,CD201705000001279156,2017-05-21,2017-05-26,export,40,Temporary,853080,"Signalling, safety or traffic control equipment; for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608)",China,China,Nigeria,"Digital China Group Co.,Ltd.",[in full dataset],[in full dataset],Beijing,China,[in full dataset],ASHAKA SECURITY CO. LTD,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2017,5,2017-05,16032.2,KG,16032.2,16853,50941.88,50941.88,48214.44,2530.95,196.49,3.01,GBP,89.3523,EXW,2.7,1375.43,6278.08,7653.51,CEVA Customs,REF6689218,355,DRUMS,PKG93329,130976781,Nigeria importer (import)
1302190000,CD201507000000010293,2015-07-12,2015-07-18,import,10,Temporary,130219,Vegetable saps and extracts; n.e.c. in item no. 1302.1,Nigeria,Nigeria,Germany,DAARUL-HADEETH SCHOOL OF ARABIC/ISLAMIYYA STUDIES LTD,[in full dataset],[in full dataset],Gbagi,Nigeria,,Natural Gums Dr. W. Agster GmbH,[in full dataset],[in full dataset],Reutlingen,Germany,[in full dataset],ROAD,Hamburg,Hamburg,2015,7,2015-07,4305.8,KG,4305.8,4699.5,1663.01,1663.01,1604.09,52.13,6.79,0.37,GBP,124.0554,CPT,6.4,106.43,0,106.43,DB Schenker Customs,REF6208358,48,BAGS,PKG33791,274420.57,Nigeria exporter (export)
0409000000,CD202602000000102313,2026-02-14,2026-02-22,export,40,Temporary,040900,Honey; natural,Germany,Germany,Nigeria,Milchwerke Schwaben eG,[in full dataset],[in full dataset],Ulm,Germany,,FRIESLANDCAMPINA WAMCO NIGERIA PLC,[in full dataset],[in full dataset],Ikeja,Nigeria,[in full dataset],ROAD,Main Container Port,Main Container Port,2026,2,2026-02,13546.5,KG,13546.5,15005.7,3406.43,3406.43,3172.97,217.49,15.97,0.23,EUR,37.0093,CPT,22.4,763.04,208.47,971.51,Expeditors Customs,REF4723370,230,BULK,PKG36214,3170764.82,Nigeria importer (import)
