vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Passenger car,870370,87037085,8703700050,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS5207,United States,South Africa,South Africa,6,2024,5,2024-05,2024-05-12,20240502,20240502,export,1,96688503,11313.33,kg,KG,The Progressive Corporation,,[in full dataset],Mayfield Village,,www.progressive.com,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,The Progressive Corporation,[in full dataset],,21869.6,21869.6,"New York/Newark, NJ",Durban,BLOEMFONTEIN,1,1,27.34,MSC OSCAR,IMO6249191,SG,V789,971,HLCU,HBL,HLCU197956748,MSCU266388606,MSCU5776652,20GP,FLAT RACK,HC,LCL,CY/CFS,Sinotrans,10112.04
Motorcycle,871160,,8711609090,6,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS1241,United Kingdom,South Africa,South Africa,6,2024,1,2024-01,2024-01-08,20240120,20240120,import,1,33875686.41,143058.85,kg,KG,EVANS HALSHAW LIMITED,,[in full dataset],NOTTINGHAM,,www.evanshalshaw.com,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],Y,EVANS HALSHAW LIMITED,[in full dataset],,18653.1,18653.1,Southampton,Durban,BRAMLEY,1,1,23.32,EVER ACME,IMO1221474,LR,V348,936,MAEU,HBL,MSCU462237754,HLCU165499036,FCIU4705328,45HC,REEFER,HC,LCL,CY/CFS,DHL Global Forwarding,131375.73
Motorcycle,871110,,87111000,6,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS1226,Germany,South Africa,South Africa,8,2024,9,2024-09,2024-09-04,20240915,20240915,import,1,87426572.08,19273.76,kg,KG,Webasto SE,,[in full dataset],Stockdorf,,www.webasto.com,[in full dataset],Y,PRINCES BENONI VW (PTY) LTD,[in full dataset],BENONI,,www.princesbenoni.co.za,[in full dataset],Y,Webasto SE,[in full dataset],,9532.9,9532.9,Wilhelmshaven,Port Elizabeth,BENONI,1,1,11.92,BARZAN,IMO5942670,MH,V641,443,ONEY,HBL,HLCU595853835,ONEY850933152,TGHU2889647,20GP,REEFER,GP,FCL,CY/CY,DHL Global Forwarding,16883.45
Bus / coach,870240,87024085,87024000,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS6452,Spain,South Africa,South Africa,5,2025,7,2025-07,2025-07-11,20250711,20250711,import,1,35395099.22,11109.32,kg,KG,CAETANO CUZCO SL.,,[in full dataset],ALCOBENDAS,,www.caetanocuzco.es,[in full dataset],Y,CKT TRAILERS AND 24X7 BREAKDOWN REPAIRS CC,[in full dataset],JOHANNESBURG,,www.ckttrailers.co.za,[in full dataset],Y,CAETANO CUZCO SL.,[in full dataset],,1735.1,1735.1,Barcelona,Ngqura,JOHANNESBURG,1,1,2.17,CSCL GLOBE,IMO3888924,PA,V871,29,OOLU,HBL,CMDU152967025,EGLV428772133,BMOU5092588,20GP,REEFER,HC,FCL,CY/CY,DB Schenker,9824.05
Goods vehicle (truck),870422,87042220,870422000,9,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes), n.e.c. in item no 8704.1",MARKS6289,Japan,South Africa,South Africa,5,2025,12,2025-12,2025-12-23,20251217,20251217,import,1,47474120.19,17884.31,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,BAM GARAGE (PTY) LTD,[in full dataset],PORT ELIZABETH,,,,Y,SUBARU CORPORATION,[in full dataset],,4962,4962,Yokohama,Cape Town,PORT ELIZABETH,1,1,6.2,MAERSK MOLLER,IMO8730473,LR,V979,699,YMLU,MBL,CMDU173531874,CMDU942358455,BMOU4586510,20GP,DRY,HC,LCL,CY/CFS,Nippon Express,15947.69
Goods vehicle (truck),870442,87044290,8704420080,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 5,000kg but not exceeding 20,000kg",MARKS4028,United States,South Africa,South Africa,5,2024,1,2024-01,2024-01-18,20240115,20240115,export,1,80393662,41353.45,kg,KG,Ares Management Corporation,,[in full dataset],Los Angeles,,www.aresmgmt.com,[in full dataset],N,VENTER LEISURE AND COMMERCIAL TRAILERS LTD,[in full dataset],FLORIDA,,,,N,Ares Management Corporation,[in full dataset],,7726.1,7726.1,"Norfolk, VA",Port Elizabeth,FLORIDA,1,1,9.66,APL MEXICO CITY,IMO5931127,MH,V669,255,MAEU,HBL,COSU311704080,CMDU943209189,MSCU7439643,40HC,DRY,GP,LCL,CY/CY,CEVA Logistics,36463.11
Passenger car,870340,87034025,87034090,7,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS8980,Slovakia,South Africa,South Africa,7,2025,12,2025-12,2025-12-25,20251223,20251223,import,1,21787428.29,21020.33,kg,KG,O Automobil Import s.r.o.,,[in full dataset],Bratislava,,,,Y,VENTER LEISURE AND COMMERCIAL TRAILERS LTD,[in full dataset],FLORIDA,,,,Y,O Automobil Import s.r.o.,[in full dataset],,5398.7,5398.7,Main Container Port,Cape Town,FLORIDA,1,1,6.75,YM WARRANTY,IMO1475431,LR,V677,964,YMLU,MBL,ONEY873551467,CMDU280116503,CAIU1625150,40HC,DRY,HC,FCL,CY/CFS,DHL Global Forwarding,19730.79
Bus / coach,870290,87029081,870290000,6,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS6881,Japan,South Africa,South Africa,8,2024,3,2024-03,2024-03-09,20240328,20240328,export,1,119701068.14,10767.23,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,A3 TRAILERS CC,[in full dataset],KROONSTAD,,,,Y,SUBARU CORPORATION,[in full dataset],,18335.2,18335.2,Osaka,Ngqura,KROONSTAD,1,1,22.92,YM WARRANTY,IMO7685563,SG,V152,689,APLU,SWB,MSCU685827957,MAEU186617212,TCLU7006955,40GP,OPEN TOP,HC,LCL,CFS/CFS,Bollore Logistics,9641.94
Bus / coach,870210,87021090,8702109210,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS5239,China,South Africa,South Africa,8,2024,1,2024-01,2024-01-23,20240119,20240119,import,1,77667920,362552,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],N,EAZYRIDER IMPORTS (PTY) LTD,[in full dataset],PRETORIA NORTH,,www.eazy-rider.com,[in full dataset],Y,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,20058.4,20058.4,Qingdao,Durban,PRETORIA NORTH,1,1,25.07,HYUNDAI LOYALTY,IMO7797035,SG,V865,380,OOLU,SWB,MSCU518706440,MSCU894449704,TCLU6471580,45HC,FLAT RACK,RF,LCL,CY/CY,Kuehne + Nagel,344941.42
Motorcycle,871120,87112010,87112092,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS7625,Spain,South Africa,South Africa,9,2025,9,2025-09,2025-09-18,20250907,20250907,export,1,43080185.74,12334.38,kg,KG,KIA IBERIA SLU,,[in full dataset],ALCOBENDAS,,www.kia.com,[in full dataset],Y,BBS TRACTORS CC,[in full dataset],LICHTENBURG,,,,Y,KIA IBERIA SLU,[in full dataset],,15760.5,15760.5,Algeciras,Ngqura,LICHTENBURG,1,1,19.7,MAERSK MOLLER,IMO6459861,MH,V785,640,ONEY,MBL,HLCU831148074,MAEU741037813,MSCU7160394,45HC,DRY,RF,FCL,CY/CY,DB Schenker,11072.69
